ID,Name,Source,Description,Donor_ID,Recipient_ID,Macroarea,Count_Borrowed
128,Zoquean languages affixes in Cho’ol,cruz2007a;lvarez2011a;zavala2007a,128-md,zoqueanlanguageszoc,choolchf,North America,1
130,Arabic affixes in Western Neo-Aramaic of Ma’lūla,lipi1997a,130-md,arabicapc,westernneoaramaicofmalulaamw,Eurasia,1
132,Tibeto-Burman languages affixes in Assamese,goswami2003a;masica1991a;matras2009a,132-md,tibetoburmanlanguagesbrx,assameseasm,Eurasia,15
133,Portuguese affixes in Tetun Dili,hajek2006a,133-md,portuguesepor,tetundilitdt,Papunesia,1
134,Spanish affixes in Purepecha/Tarascan,chamoreau2012a,134-md,spanishspa,purepechatarascantsz,North America,1
135,Spanish affixes in Mexicanero de la Sierra Madre Occidental,chamoreau2012a,135-md,spanishspa,mexicanerodelasierramadreoccidentalnln,North America,1
136,Spanish affixes in Yucatec Maya,chamoreau2012a,136-md,spanishspa,yucatecmayayua,North America,1
138,Turkish affixes in Iraqi Arabic,masliyah1996a;ni2009a,138-md,turkishtur,iraqiarabicacm,Eurasia,4
139,Quapaw affixes in Alabama and Choctaw-Chickasaw,rankin1988a,139-md,quapawqua,alabamaandchoctawchickasawakzciccho,North America,1
140,Hindi affixes in Kharia,peterson2011a,140-md,hindihin,khariakhr,Eurasia,1
142,Latvian affixes in German,polanska2002a,142-md,latvianlvs,germandeu,Eurasia,1
143,Quechua affixes in Amuesha,adelaar2006a;duff_tripp1997a,143-md,quechuaqva,amueshaame,South America,3
144,Tajik affixes in Moghol,weiers2003a,144-md,tajiktgk,mogholmhj,Eurasia,7
145,Chinese affixes in Dagur,tsumagari2003a,145-md,chinesecmn,dagurdta,Eurasia,1
146,Croatian affixes in Hungarian,fuchs1949a,146-md,croatianhrv,hungarianhun,Eurasia,1
147,Evenki affixes in Dagur,tsumagari2003a,147-md,evenkievn,dagurdta,Eurasia,3
148,Chinese affixes in Santa,kim2003a,148-md,chinesecmn,santasce,Eurasia,7
149,Turkic affixes in Middle Mongolic,schoenig2003a,149-md,turkictur,middlemongolicmon,Eurasia,6
150,Lingala affixes in Ndunga-le,pasch1988a,150-md,lingalalin,ndungalendt,Africa,4
151,Cushitic affixes in Ilwana,moehlig1986a,151-md,cushiticsom,ilwanamlk,Africa,4
152,North Swahili affixes in South Swahili,gueldemann1992a;gueldemann2003a,152-md,northswahiliswh,southswahiliswh,Africa,2
153,Spanish affixes in Nahuatl,casanova1933a;chamoreau2012a;gardani2021a;hill1986a;morales2012a;su1977a,153-md,spanishspa,nahuatlnhn,South America,3
154,Middle Low German affixes in Russian,fufaeva2021a;matushansky2023a,154-md,middlelowgermangml,russianrus,Eurasia,1
155,French affixes in Russian,fufaeva2021a;matushansky2023a;yepishkin2010a,155-md,frenchfra,russianrus,Eurasia,3
156,Belarusian affixes in Lithuanian,arkadiev2023a;deksne2022a;in2015a;kozhanov2013a;kozhanov2014a;nau2015a;tuomien2020a;wiemer2009a;zinkevi1966a,156-md,belarusianbel,lithuanianlit,Eurasia,4
157,Central Asian Turkic affixes in Russian,hadzhieva2012a;itkin2007a;matushansky2023a;witkowski1981a,157-md,centralasianturkictat,russianrus,Eurasia,1
158,Molisano Neapolitan affixes in Slavomolisano,adamou2016a;breu2013a;breu2019a;breu2020a,158-md,molisanoneapolitannap,slavomolisanosvm,Eurasia,1
159,Lombardic affixes in Tuscan Italian,aebischer1941a;bianchi1888a,159-md,lombardiclng,tuscanitalianita,Eurasia,1
160,Italian affixes in Arbëresh Albanian,altimari2011a,160-md,italianita,arbereshalbanianaae,Eurasia,1
161,Chamacoco affixes in Kadiwéu,ciucci2014a;sandalo1995a,161-md,chamacococeg,kadiweukbc,South America,1
162,Nivaclé affixes in Zamucoan,ciucci2010a;ciucci2014a,162-md,nivaclecag,zamucoanayo,South America,1
163,Russian affixes in Estonian,blokland2005a,163-md,russianrus,estonianekk,Eurasia,9
164,Kurdish affixes in Chaldean Neo-Aramaic,gutman2015a;gutman2018a;khan2007a,164-md,kurdishkur,chaldeanneoaramaiccld,Eurasia,1
165,Kurdish affixes in Suleimaniya Jewish Neo-Aramaic,khan2007a,165-md,kurdishkur,suleimaniyajewishneoaramaichuy,Eurasia,3
166,German affixes in Estonian,maegiste1968a;s2024a;s2024b,166-md,germandeu,estonianekk,Eurasia,3
167,Azeri affixes in Udi,maisak2019a;maisak2023a;schulze2002a;schulze2016a,167-md,azeriazbazj,udiudi,Eurasia,6
168,Upper Chinook affixes in Bella Coola,nater2000a;nater2010a,168-md,upperchinookwac,bellacoolablc,South America,1
169,Hebrew affixes in Yiddish,gold1998a;weinreich1953a,169-md,hebrewheb,yiddishydd,Eurasia,2
170,English affixes in Welsh,gardani2008a;weinreich1953a,170-md,englisheng,welshcym,Eurasia,1
171,Tasawaq affixes in Tamajeq Tuareg,kossmann2007a,171-md,tasawaqtwq,tamajeqtuaregthz,Africa,2
172,German affixes in Polish,,172-md,germandeu,polishpol,Eurasia,1
173,English affixes in Spanish,lewis2007a;lorenzo1996a;mott2015a;velasco2020a,173-md,englisheng,spanishspa,Eurasia,1
174,Spanish affixes in Tagalog,baklanova2016a;baklanova2017a;baklanova2023a;rachkov2012a;wolff2001a,174-md,spanishspa,tagalogtgl,Papunesia,8
175,Middle Low German affixes in Danish,peters1983a;s2024c;skancke2001a,175-md,middlelowgermangml,danishdan,Eurasia,12
176,Coos affixes in Alsea,frachtenberg1913a;frachtenberg1914a;frachtenberg1917a;frachtenberg1918a;frachtenberg1920a;frachtenberg1922a;frachtenberg1922b;jacobs1939a;jacobs1940a;mithun2000a,176-md,cooscsz,alseaaes,North America,1
177,English affixes in Mandarin,tsai2007a;yang2013a,177-md,englisheng,mandarincmn,Eurasia,1
178,English affixes in Tagalog,goulet1971a,178-md,englisheng,tagalogtgl,Papunesia,1
179,French affixes in Turkish,demir2017a,179-md,frenchfra,turkishtur,Eurasia,2
180,Middle Chinese affixes in Vietnamese,arcodia2012a;l2002a;phan2013a,180-md,middlechineseltc,vietnamesevie,Eurasia,15
181,Middle Chinese affixes in Japanese,,181-md,middlechineseltc,japanesejpn,Eurasia,3
182,English affixes in Japanese,nagano2018a,182-md,englisheng,japanesejpn,Eurasia,3
183,Ancient Greek affixes in Latin,adams2013a;magni2017a,183-md,ancientgreekgrc,latinlat,Eurasia,1
184,Sahaptin affixes in Upper Chinook,campbell1997a;kinkade1998a;sapir1907a;silverstein1974a,184-md,sahaptinyak,upperchinookwac,North America,6
185,Nepali affixes in Baram,dhakal2014a;dhakal2017a,185-md,nepalinpi,barambrd,Eurasia,5
186,English affixes in German,jakub2013a;schluecker2024a,186-md,englisheng,germandeu,Eurasia,1
187,Gurma affixes in Songhay Ciiné,souag2023a,187-md,gurmagux,songhayciinedje,Africa,1
188,German affixes in English,majt2012a,188-md,germandeu,englisheng,Eurasia,1
189,German affixes in Hungarian,majt2012a,189-md,germandeu,hungarianhun,Eurasia,1
190,Spanish affixes in Caquinte,o2022a;torres2019a,190-md,spanishspa,caquintecot,South America,2
