ID,Language_ID,Parameter_ID,Value,Pair_ID
78-definiteindefinite,kolasaami,definiteindefinite,1,78
78-topic,kolasaami,topic,2,78
78-nominalizeragent,kolasaami,nominalizeragent,1,78
78-verbaltam,kolasaami,verbaltam,1,78
82-clauselinking,kurmanji,clauselinking,1,82
83-numeralclassifier,manange,numeralclassifier,1,83
85-adjectivizermiscellaneous,yiddish,adjectivizermiscellaneous,2,85
85-adjectivizerprivative,yiddish,adjectivizerprivative,1,85
85-genderhuman,yiddish,genderhuman,3,85
85-diminutive,yiddish,diminutive,3,85
85-nominalizeragent,yiddish,nominalizeragent,2,85
85-nominalizerplacename,yiddish,nominalizerplacename,1,85
85-verbalizer,yiddish,verbalizer,1,85
87-adjectivizermiscellaneous,meglenoromanian,adjectivizermiscellaneous,2,87
87-adjectivizerprivative,meglenoromanian,adjectivizerprivative,1,87
87-diminutive,meglenoromanian,diminutive,11,87
87-nominalizermiscellaneous,meglenoromanian,nominalizermiscellaneous,1,87
87-nominalizerabstract,meglenoromanian,nominalizerabstract,4,87
87-nominalizersocialgroup,meglenoromanian,nominalizersocialgroup,2,87
87-nominalizerplacename,meglenoromanian,nominalizerplacename,2,87
87-verbaltam,meglenoromanian,verbaltam,9,87
87-subjectobjectindexing,meglenoromanian,subjectobjectindexing,2,87
88-diminutive,arvaniticalbanian,diminutive,4,88
88-nominalizeragent,arvaniticalbanian,nominalizeragent,1,88
88-nominalizersocialgroup,arvaniticalbanian,nominalizersocialgroup,1,88
88-nominalderivationmiscellaneous,arvaniticalbanian,nominalderivationmiscellaneous,13,88
88-verbalderivationmiscellaneous,arvaniticalbanian,verbalderivationmiscellaneous,9,88
88-verbalizer,arvaniticalbanian,verbalizer,4,88
92-superlative,lithuanianromani,superlative,1,92
92-verbaltam,lithuanianromani,verbaltam,5,92
93-nominalizeragent,sierrapopoluca,nominalizeragent,1,93
94-comparative,brahui,comparative,1,94
94-adjectivizermiscellaneous,brahui,adjectivizermiscellaneous,1,94
94-verbaltam,brahui,verbaltam,1,94
95-nominalizermiscellaneous,semelai,nominalizermiscellaneous,1,95
95-valencypassive,semelai,valencypassive,1,95
95-valencycausative,semelai,valencycausative,1,95
95-valencyapplicative,semelai,valencyapplicative,1,95
95-verbaltam,semelai,verbaltam,4,95
96-valencypassive,tukangbesi,valencypassive,1,96
98-nominalizermiscellaneous,lezgian,nominalizermiscellaneous,1,98
98-nominalizeragent,lezgian,nominalizeragent,2,98
100-clauseleveltam,centralsiberianyupikeskimo,clauseleveltam,3,100
101-nominalderivationmiscellaneous,kayardild,nominalderivationmiscellaneous,1,101
102-adjectivizermiscellaneous,kurux,adjectivizermiscellaneous,4,102
102-genderhuman,kurux,genderhuman,1,102
102-numeralandquantifierderivation,kurux,numeralandquantifierderivation,2,102
102-valencypassive,kurux,valencypassive,1,102
107-adjectivizermiscellaneous,turkish,adjectivizermiscellaneous,1,107
107-nominalizermiscellaneous,turkish,nominalizermiscellaneous,1,107
107-nominalizeragent,turkish,nominalizeragent,3,107
107-nominalizerplacename,turkish,nominalizerplacename,1,107
107-nominalderivationmiscellaneous,turkish,nominalderivationmiscellaneous,1,107
108-adjectivizermiscellaneous,azari,adjectivizermiscellaneous,3,108
108-diminutive,azari,diminutive,1,108
108-nominalizeragent,azari,nominalizeragent,4,108
108-nominalizerplacename,azari,nominalizerplacename,1,108
108-nominalderivationmiscellaneous,azari,nominalderivationmiscellaneous,1,108
109-adjectivizermiscellaneous,kashmiri,adjectivizermiscellaneous,4,109
109-adjectivizerprivative,kashmiri,adjectivizerprivative,1,109
109-nominalizeragent,kashmiri,nominalizeragent,2,109
109-nominalizerabstract,kashmiri,nominalizerabstract,2,109
109-nominalderivationmiscellaneous,kashmiri,nominalderivationmiscellaneous,4,109
110-comparative,khanty,comparative,1,110
110-superlative,khanty,superlative,1,110
110-adjectivizermiscellaneous,khanty,adjectivizermiscellaneous,4,110
110-adjectivizerprivative,khanty,adjectivizerprivative,1,110
110-diminutive,khanty,diminutive,1,110
110-nominalderivationmiscellaneous,khanty,nominalderivationmiscellaneous,1,110
110-valencycausative,khanty,valencycausative,1,110
110-valencyreflexive,khanty,valencyreflexive,3,110
110-verbalderivationmiscellaneous,khanty,verbalderivationmiscellaneous,1,110
110-verbalizer,khanty,verbalizer,1,110
111-genderhuman,finnish,genderhuman,2,111
111-nominalizeragent,finnish,nominalizeragent,1,111
112-verbalderivationmiscellaneous,carapanatatuyowaimajaandyuruti,verbalderivationmiscellaneous,1,112
113-adjectivizermiscellaneous,basque,adjectivizermiscellaneous,2,113
113-adjectivizerprivative,basque,adjectivizerprivative,1,113
113-genderhuman,basque,genderhuman,1,113
113-diminutive,basque,diminutive,2,113
113-augmentative,basque,augmentative,2,113
113-nominalizeragent,basque,nominalizeragent,4,113
113-nominalizerabstract,basque,nominalizerabstract,17,113
113-nominalizersocialgroup,basque,nominalizersocialgroup,2,113
113-nominalderivationmiscellaneous,basque,nominalderivationmiscellaneous,4,113
113-verbalderivationmiscellaneous,basque,verbalderivationmiscellaneous,1,113
114-nominalizerabstract,moroccanarabic,nominalizerabstract,1,114
116-casenonlocativeperipheralcase,wutun,casenonlocativeperipheralcase,1,116
116-caselocative,wutun,caselocative,1,116
116-valencyapplicative,wutun,valencyapplicative,1,116
116-verbaltam,wutun,verbaltam,2,116
116-relativizersubordinator,wutun,relativizersubordinator,2,116
117-verbaltam,quechuadepuno,verbaltam,8,117
117-verbalderivationmiscellaneous,quechuadepuno,verbalderivationmiscellaneous,1,117
118-casenonlocativeperipheralcase,chineseoflinxiahezou,casenonlocativeperipheralcase,1,118
119-adjectivizerprivative,judeospanish,adjectivizerprivative,1,119
119-diminutive,judeospanish,diminutive,1,119
119-nominalizermiscellaneous,judeospanish,nominalizermiscellaneous,1,119
119-nominalizerplacename,judeospanish,nominalizerplacename,1,119
119-nominalderivationmiscellaneous,judeospanish,nominalderivationmiscellaneous,2,119
124-definiteindefinite,karelian,definiteindefinite,6,124
125-clauseleveltam,tariana,clauseleveltam,1,125
125-verbalderivationmiscellaneous,tariana,verbalderivationmiscellaneous,2,125
126-adjectivizermiscellaneous,kalderashromani,adjectivizermiscellaneous,1,126
126-diminutive,kalderashromani,diminutive,1,126
126-nominalizerabstract,kalderashromani,nominalizerabstract,2,126
126-numeralderivationordinals,kalderashromani,numeralderivationordinals,1,126
127-verbalderivationmiscellaneous,chool,verbalderivationmiscellaneous,3,127
128-relativizersubordinator,chool,relativizersubordinator,1,128
130-comparative,westernneoaramaicofmalula,comparative,1,130
132-numeralclassifier,assamese,numeralclassifier,15,132
133-nominalizeragent,tetundili,nominalizeragent,1,133
134-diminutive,purepechatarascan,diminutive,1,134
135-diminutive,mexicanerodelasierramadreoccidental,diminutive,1,135
136-diminutive,yucatecmaya,diminutive,1,136
138-adjectivizerprivative,iraqiarabic,adjectivizerprivative,1,138
138-nominalizeragent,iraqiarabic,nominalizeragent,1,138
138-nominalizerabstract,iraqiarabic,nominalizerabstract,1,138
138-nominalizersocialgroup,iraqiarabic,nominalizersocialgroup,1,138
139-numeralderivationordinals,alabamaandchoctawchickasaw,numeralderivationordinals,1,139
140-relativizersubordinator,kharia,relativizersubordinator,1,140
142-nominalizeragent,german,nominalizeragent,1,142
143-clauseleveltam,amuesha,clauseleveltam,2,143
143-casenonlocativeperipheralcase,amuesha,casenonlocativeperipheralcase,1,143
144-comparative,moghol,comparative,1,144
144-superlative,moghol,superlative,1,144
144-caselocative,moghol,caselocative,1,144
144-numberplural,moghol,numberplural,4,144
145-numberplural,dagur,numberplural,1,145
146-superlative,hungarian,superlative,1,146
147-numberplural,dagur,numberplural,3,147
148-nominalizermiscellaneous,santa,nominalizermiscellaneous,1,148
148-nominalizeragent,santa,nominalizeragent,4,148
148-numberplural,santa,numberplural,1,148
148-valencypassive,santa,valencypassive,1,148
149-casenonlocativeperipheralcase,middlemongolic,casenonlocativeperipheralcase,3,149
149-nominalizeragent,middlemongolic,nominalizeragent,1,149
149-numberplural,middlemongolic,numberplural,1,149
149-verbalizer,middlemongolic,verbalizer,1,149
150-nounclassinanimate,ndungale,nounclassinanimate,4,150
151-numberplural,ilwana,numberplural,4,151
152-verbaltam,southswahili,verbaltam,2,152
153-diminutive,nahuatl,diminutive,1,153
153-augmentative,nahuatl,augmentative,1,153
153-nominalizeragent,nahuatl,nominalizeragent,1,153
154-nominalizeragent,russian,nominalizeragent,1,154
155-nominalizeragent,russian,nominalizeragent,3,155
156-verbaltam,lithuanian,verbaltam,3,156
156-verbalizer,lithuanian,verbalizer,1,156
157-nominalizeragent,russian,nominalizeragent,1,157
158-clauselinking,slavomolisano,clauselinking,1,158
159-adjectivizermiscellaneous,tuscanitalian,adjectivizermiscellaneous,1,159
160-verbalizer,arbereshalbanian,verbalizer,1,160
161-subjectobjectindexing,kadiweu,subjectobjectindexing,1,161
162-possessorindexing,zamucoan,possessorindexing,1,162
163-superlative,estonian,superlative,1,163
